NGO_Name,Focus_Area,NGO_Type,State,City,Registration_Number,Active_Projects,Year_Started,Contact_Email,Funding_Level,Volunteers,Awards,Rating
SaveWomen Foundation,Domestic Violence,Women Rights,West Bengal,Bengaluru,75074,39,1985,support@yahoo.com,Medium,1877,Child Safety Award,Average
ChildProtect Mission,Domestic Violence,Child Protection,Kerala,Kochi,67822,37,2008,support@yahoo.com,Medium,756,Humanity Service Award,Excellent
SaveWomen Foundation,Rape Cases,Women Rights,Gujarat,Chennai,28502,44,2012,support@yahoo.com,Medium,1603,Child Safety Award,Average
WomenRise India,Rape Cases,Legal Aid,Bihar,Ahmedabad,94438,9,2022,info@gmail.com,High,1949,Community Impact Award,Excellent
RescueKids NGO,Human Trafficking,Cyber Safety,Kerala,Jaipur,39788,15,1985,support@yahoo.com,High,1944,Best NGO Award,Very Good
Udaan Trust,Rape Cases,Cyber Safety,Bihar,Ahmedabad,39144,22,2002,info@gmail.com,Low,1119,National Excellence Award,Good
WomenRise India,Rape Cases,Cyber Safety,Rajasthan,Patna,99604,13,1993,info@gmail.com,Medium,609,None,Average
Udaan Trust,Domestic Violence,Anti-Trafficking,Delhi,Chennai,37834,17,1994,contact@ngo.org,Medium,809,Child Safety Award,Excellent
StopTraffick Mission,Rape Cases,Child Protection,Uttar Pradesh,Patna,94389,40,2012,support@yahoo.com,High,739,Women Empowerment Award,Average
JusticeForAll NGO,Child Abuse,Child Protection,Karnataka,Lucknow,32158,15,1988,contact@ngo.org,Low,1735,Humanity Service Award,Average
ChildProtect Mission,Domestic Violence,Counselling,Tamil Nadu,Kolkata,24956,33,1992,info@gmail.com,High,782,Humanity Service Award,Very Good
WomenRise India,Human Trafficking,Cyber Safety,Bihar,Ahmedabad,39457,25,1990,contact@ngo.org,High,1008,Child Safety Award,Excellent
CyberSafe Org,Rape Cases,Women Rights,Rajasthan,Delhi,84203,47,1992,contact@ngo.org,Medium,1243,Community Impact Award,Average
JusticeForAll NGO,Women Harassment,Domestic Abuse Support,Kerala,Delhi,83189,13,2007,contact@ngo.org,High,855,Child Safety Award,Excellent
SecureFuture Org,Women Harassment,Anti-Trafficking,Kerala,Lucknow,51845,35,1997,contact@ngo.org,High,331,Humanity Service Award,Good
Udaan Trust,Human Trafficking,Domestic Abuse Support,Bihar,Delhi,52043,30,2015,contact@ngo.org,High,1625,Humanity Service Award,Very Good
SecureFuture Org,Child Abuse,Counselling,Delhi,Kolkata,28285,33,2019,support@yahoo.com,Low,1154,Humanity Service Award,Excellent
SaveWomen Foundation,Women Harassment,Legal Aid,Kerala,Mumbai,18186,52,2008,contact@ngo.org,High,151,Humanity Service Award,Excellent
Udaan Trust,Domestic Violence,Cyber Safety,Karnataka,Mumbai,15275,1,1993,contact@ngo.org,Low,1099,Best NGO Award,Good
JusticeForAll NGO,Child Labour,Legal Aid,Gujarat,Mumbai,66482,51,2009,info@gmail.com,Medium,149,None,Average
ChildHelp India,Child Abuse,Legal Aid,Delhi,Ahmedabad,62354,21,2001,support@yahoo.com,Low,1058,Best NGO Award,Average
CyberSafe Org,Domestic Violence,Domestic Abuse Support,Delhi,Kochi,36998,56,2017,info@gmail.com,Low,429,Humanity Service Award,Excellent
ChildProtect Mission,Rape Cases,Counselling,Maharashtra,Patna,52104,51,2021,support@yahoo.com,Low,999,National Excellence Award,Excellent
WomenRise India,Human Trafficking,Child Protection,Rajasthan,Kolkata,80862,51,2017,support@yahoo.com,Medium,1394,None,Average
ChildProtect Mission,Rape Cases,Child Protection,Uttar Pradesh,Kolkata,64940,24,1985,info@gmail.com,High,201,Child Safety Award,Good
HopeCare Foundation,Domestic Violence,Anti-Trafficking,Delhi,Bengaluru,95979,5,2008,support@yahoo.com,High,439,Best NGO Award,Very Good
Parivartan Society,Women Harassment,Domestic Abuse Support,Kerala,Ahmedabad,92271,20,2019,info@gmail.com,Medium,1552,Best NGO Award,Good
SecureFuture Org,Child Labour,Legal Aid,Rajasthan,Patna,49627,58,2007,support@yahoo.com,High,1987,Women Empowerment Award,Average
HopeCare Foundation,Cyber Crime,Cyber Safety,Karnataka,Ahmedabad,91236,20,2004,info@gmail.com,High,1978,Women Empowerment Award,Good
Parivartan Society,Cyber Crime,Legal Aid,Bihar,Mumbai,27485,19,1993,contact@ngo.org,Low,769,Community Impact Award,Excellent
ChildProtect Mission,Child Labour,Legal Aid,Kerala,Delhi,52135,27,2013,contact@ngo.org,Medium,1385,Humanity Service Award,Average
RescueKids NGO,Domestic Violence,Women Rights,Rajasthan,Chennai,27973,42,2022,support@yahoo.com,Medium,592,Women Empowerment Award,Very Good
WomenRise India,Domestic Violence,Legal Aid,Karnataka,Mumbai,48521,10,2019,support@yahoo.com,Low,1484,Child Safety Award,Excellent
Parivartan Society,Child Labour,Counselling,Uttar Pradesh,Jaipur,87968,14,1994,support@yahoo.com,Medium,1245,Women Empowerment Award,Average
CyberSafe Org,Rape Cases,Legal Aid,Kerala,Chennai,33969,45,2009,info@gmail.com,Medium,1393,Humanity Service Award,Average
SaveWomen Foundation,Rape Cases,Counselling,Rajasthan,Delhi,27324,43,1997,support@yahoo.com,Medium,31,Humanity Service Award,Good
SecureFuture Org,Child Abuse,Legal Aid,Delhi,Kolkata,74430,8,1992,info@gmail.com,Medium,958,Child Safety Award,Good
HopeCare Foundation,Women Harassment,Legal Aid,Bihar,Delhi,96611,8,1987,support@yahoo.com,High,1581,None,Average
Parivartan Society,Child Labour,Domestic Abuse Support,Uttar Pradesh,Jaipur,62890,57,2020,support@yahoo.com,Medium,887,Best NGO Award,Average
HopeCare Foundation,Child Labour,Anti-Trafficking,Delhi,Patna,80044,26,2011,contact@ngo.org,High,1529,National Excellence Award,Excellent
StopTraffick Mission,Women Harassment,Cyber Safety,Kerala,Delhi,30833,24,1992,info@gmail.com,Medium,1838,Child Safety Award,Average
SaveWomen Foundation,Human Trafficking,Counselling,Kerala,Bengaluru,76991,32,2013,support@yahoo.com,Low,710,Child Safety Award,Good
StopTraffick Mission,Human Trafficking,Legal Aid,Maharashtra,Ahmedabad,90430,25,2018,info@gmail.com,Low,854,Best NGO Award,Good
CyberSafe Org,Women Harassment,Child Protection,Tamil Nadu,Jaipur,54448,1,1987,support@yahoo.com,Low,389,National Excellence Award,Excellent
Udaan Trust,Domestic Violence,Child Protection,Karnataka,Chennai,63849,41,2000,contact@ngo.org,Medium,110,None,Good
SecureFuture Org,Child Abuse,Cyber Safety,Maharashtra,Kochi,40796,44,2002,contact@ngo.org,Low,536,Child Safety Award,Very Good
JusticeForAll NGO,Cyber Crime,Cyber Safety,West Bengal,Lucknow,34721,6,1987,support@yahoo.com,Low,1854,Child Safety Award,Very Good
Udaan Trust,Rape Cases,Cyber Safety,Bihar,Chennai,22464,15,2019,support@yahoo.com,High,601,National Excellence Award,Excellent
ChildHelp India,Cyber Crime,Domestic Abuse Support,Kerala,Mumbai,44150,26,2009,contact@ngo.org,Medium,1179,Women Empowerment Award,Excellent
Parivartan Society,Human Trafficking,Counselling,West Bengal,Jaipur,63703,3,2015,support@yahoo.com,Low,482,Women Empowerment Award,Good
StopTraffick Mission,Women Harassment,Domestic Abuse Support,West Bengal,Kochi,66320,5,2011,info@gmail.com,High,1752,None,Good
SecureFuture Org,Domestic Violence,Domestic Abuse Support,Tamil Nadu,Delhi,92236,49,2001,contact@ngo.org,High,651,National Excellence Award,Excellent
SaveWomen Foundation,Domestic Violence,Counselling,Delhi,Mumbai,51132,49,1987,support@yahoo.com,High,1888,Humanity Service Award,Average
RescueKids NGO,Women Harassment,Child Protection,Delhi,Jaipur,28208,1,2000,info@gmail.com,High,477,Child Safety Award,Very Good
SecureFuture Org,Domestic Violence,Anti-Trafficking,West Bengal,Ahmedabad,29727,13,1994,info@gmail.com,Medium,432,Community Impact Award,Excellent
JusticeForAll NGO,Women Harassment,Cyber Safety,Bihar,Lucknow,48942,3,2016,support@yahoo.com,High,1581,Humanity Service Award,Excellent
WomenRise India,Domestic Violence,Domestic Abuse Support,Karnataka,Patna,94072,10,2003,contact@ngo.org,Low,491,Humanity Service Award,Good
ChildProtect Mission,Rape Cases,Counselling,West Bengal,Mumbai,44832,48,2012,contact@ngo.org,High,1591,Best NGO Award,Average
JusticeForAll NGO,Women Harassment,Cyber Safety,Tamil Nadu,Ahmedabad,46531,2,1998,info@gmail.com,Medium,1972,Humanity Service Award,Good
Parivartan Society,Cyber Crime,Cyber Safety,Tamil Nadu,Delhi,44401,46,1998,contact@ngo.org,Medium,619,National Excellence Award,Excellent
JusticeForAll NGO,Cyber Crime,Cyber Safety,Bihar,Ahmedabad,67417,56,2004,support@yahoo.com,High,1235,Humanity Service Award,Excellent
Udaan Trust,Domestic Violence,Women Rights,Karnataka,Jaipur,57517,3,1993,support@yahoo.com,Medium,829,None,Good
Parivartan Society,Domestic Violence,Anti-Trafficking,Gujarat,Kochi,52718,1,2004,info@gmail.com,Low,342,Child Safety Award,Average
WomenRise India,Women Harassment,Domestic Abuse Support,Maharashtra,Delhi,50823,2,2022,support@yahoo.com,Low,551,Humanity Service Award,Average
StopTraffick Mission,Rape Cases,Child Protection,Karnataka,Jaipur,12762,29,1987,info@gmail.com,Low,20,National Excellence Award,Excellent
SecureFuture Org,Rape Cases,Cyber Safety,Rajasthan,Lucknow,94746,45,2000,info@gmail.com,Low,1306,Best NGO Award,Average
Parivartan Society,Human Trafficking,Counselling,Gujarat,Patna,87460,56,2021,info@gmail.com,High,1139,Best NGO Award,Excellent
JusticeForAll NGO,Women Harassment,Domestic Abuse Support,Gujarat,Lucknow,57237,44,2007,info@gmail.com,High,1390,Humanity Service Award,Average
CyberSafe Org,Cyber Crime,Counselling,Gujarat,Delhi,20553,18,2003,support@yahoo.com,Medium,1780,None,Good
ChildHelp India,Domestic Violence,Legal Aid,Maharashtra,Bengaluru,69368,58,1994,support@yahoo.com,Medium,1333,Humanity Service Award,Good
SaveWomen Foundation,Child Abuse,Anti-Trafficking,Rajasthan,Bengaluru,82787,17,1988,support@yahoo.com,Low,1300,Women Empowerment Award,Excellent
JusticeForAll NGO,Domestic Violence,Women Rights,Rajasthan,Lucknow,37867,36,1996,contact@ngo.org,Medium,822,National Excellence Award,Excellent
ChildHelp India,Cyber Crime,Child Protection,Maharashtra,Lucknow,23164,8,2019,support@yahoo.com,Low,1986,Women Empowerment Award,Excellent
SaveWomen Foundation,Women Harassment,Child Protection,Maharashtra,Bengaluru,10739,25,1994,info@gmail.com,High,1751,Humanity Service Award,Excellent
HopeCare Foundation,Cyber Crime,Women Rights,Tamil Nadu,Delhi,26287,13,2009,support@yahoo.com,Low,672,Community Impact Award,Average
Udaan Trust,Cyber Crime,Counselling,Bihar,Patna,47169,20,2016,contact@ngo.org,High,238,National Excellence Award,Good
StopTraffick Mission,Cyber Crime,Women Rights,Tamil Nadu,Kochi,94155,27,2016,contact@ngo.org,Medium,122,Best NGO Award,Good
SecureFuture Org,Human Trafficking,Cyber Safety,Gujarat,Mumbai,88998,1,2017,contact@ngo.org,Medium,1168,Child Safety Award,Average
RescueKids NGO,Cyber Crime,Child Protection,West Bengal,Kochi,87940,19,2005,info@gmail.com,High,411,Women Empowerment Award,Good
HopeCare Foundation,Women Harassment,Domestic Abuse Support,Kerala,Ahmedabad,60637,51,1989,support@yahoo.com,Low,383,Best NGO Award,Excellent
SaveWomen Foundation,Women Harassment,Women Rights,Delhi,Bengaluru,36893,55,2013,info@gmail.com,Low,1136,Women Empowerment Award,Good
SaveWomen Foundation,Women Harassment,Counselling,Delhi,Ahmedabad,15322,23,1996,support@yahoo.com,High,1520,Child Safety Award,Very Good
WomenRise India,Domestic Violence,Child Protection,Gujarat,Mumbai,20958,40,2007,contact@ngo.org,Low,56,Community Impact Award,Very Good
ChildProtect Mission,Rape Cases,Child Protection,Maharashtra,Kolkata,66264,20,1995,contact@ngo.org,Low,52,Humanity Service Award,Good
Parivartan Society,Child Abuse,Anti-Trafficking,West Bengal,Mumbai,93128,41,1994,info@gmail.com,Low,514,Women Empowerment Award,Good
SecureFuture Org,Child Abuse,Legal Aid,Rajasthan,Kochi,97798,4,1997,support@yahoo.com,Low,871,Child Safety Award,Good
SecureFuture Org,Domestic Violence,Counselling,Maharashtra,Chennai,10091,14,1987,support@yahoo.com,Low,417,National Excellence Award,Excellent
WomenRise India,Domestic Violence,Cyber Safety,Tamil Nadu,Mumbai,97282,41,2020,support@yahoo.com,Low,225,Child Safety Award,Very Good
CyberSafe Org,Domestic Violence,Cyber Safety,Kerala,Mumbai,68707,25,1998,info@gmail.com,Low,1701,Women Empowerment Award,Very Good
SaveWomen Foundation,Rape Cases,Anti-Trafficking,West Bengal,Kochi,35669,37,2020,support@yahoo.com,High,548,National Excellence Award,Good
JusticeForAll NGO,Human Trafficking,Legal Aid,Uttar Pradesh,Patna,81345,48,1995,contact@ngo.org,Medium,1994,Women Empowerment Award,Excellent
SecureFuture Org,Child Abuse,Cyber Safety,Kerala,Kochi,93846,36,2018,info@gmail.com,High,1510,National Excellence Award,Good
Parivartan Society,Human Trafficking,Cyber Safety,Delhi,Chennai,16872,54,2008,support@yahoo.com,High,1698,Women Empowerment Award,Excellent
HopeCare Foundation,Domestic Violence,Women Rights,Rajasthan,Mumbai,79644,6,1994,contact@ngo.org,Medium,1497,Women Empowerment Award,Very Good
ChildHelp India,Domestic Violence,Women Rights,Kerala,Kolkata,82785,15,1990,info@gmail.com,Low,564,Humanity Service Award,Excellent
RescueKids NGO,Domestic Violence,Counselling,Kerala,Mumbai,50386,9,1996,info@gmail.com,High,1027,Humanity Service Award,Excellent
CyberSafe Org,Women Harassment,Women Rights,West Bengal,Lucknow,85410,20,2014,info@gmail.com,Low,665,Humanity Service Award,Average
JusticeForAll NGO,Child Abuse,Child Protection,Uttar Pradesh,Chennai,29682,24,2022,contact@ngo.org,High,51,Humanity Service Award,Good
Parivartan Society,Domestic Violence,Cyber Safety,Karnataka,Delhi,12373,32,2017,support@yahoo.com,Medium,978,National Excellence Award,Excellent
Parivartan Society,Human Trafficking,Anti-Trafficking,Karnataka,Bengaluru,87753,16,2012,info@gmail.com,Medium,477,None,Good
WomenRise India,Rape Cases,Legal Aid,Rajasthan,Kolkata,53880,16,2017,contact@ngo.org,High,160,Community Impact Award,Very Good
SecureFuture Org,Domestic Violence,Child Protection,West Bengal,Lucknow,49002,56,1991,support@yahoo.com,High,237,Community Impact Award,Good
CyberSafe Org,Child Labour,Legal Aid,Uttar Pradesh,Lucknow,90582,10,1999,support@yahoo.com,High,190,Women Empowerment Award,Excellent
ChildProtect Mission,Rape Cases,Cyber Safety,Karnataka,Bengaluru,27335,46,2021,contact@ngo.org,High,420,Women Empowerment Award,Very Good
ChildHelp India,Domestic Violence,Anti-Trafficking,Delhi,Chennai,53461,55,2016,info@gmail.com,High,1209,National Excellence Award,Excellent
WomenRise India,Domestic Violence,Counselling,Delhi,Kolkata,97993,29,2012,contact@ngo.org,Low,138,Best NGO Award,Very Good
Parivartan Society,Cyber Crime,Anti-Trafficking,Gujarat,Ahmedabad,29886,19,2012,info@gmail.com,Low,925,None,Average
WomenRise India,Rape Cases,Cyber Safety,Uttar Pradesh,Ahmedabad,90642,12,2013,contact@ngo.org,Medium,449,Women Empowerment Award,Very Good
WomenRise India,Domestic Violence,Cyber Safety,Bihar,Mumbai,94788,49,2021,support@yahoo.com,Low,1974,None,Good
StopTraffick Mission,Rape Cases,Legal Aid,Rajasthan,Ahmedabad,83120,19,2005,contact@ngo.org,Low,590,Humanity Service Award,Average
StopTraffick Mission,Rape Cases,Child Protection,Maharashtra,Chennai,65494,52,2008,support@yahoo.com,High,822,Women Empowerment Award,Average
WomenRise India,Human Trafficking,Legal Aid,Tamil Nadu,Lucknow,17908,52,1988,support@yahoo.com,High,291,National Excellence Award,Good
ChildHelp India,Child Labour,Women Rights,Kerala,Ahmedabad,31202,43,2021,support@yahoo.com,Medium,613,None,Good
Parivartan Society,Child Abuse,Domestic Abuse Support,Maharashtra,Jaipur,60959,22,1996,contact@ngo.org,High,72,Humanity Service Award,Very Good
WomenRise India,Cyber Crime,Cyber Safety,Kerala,Ahmedabad,90932,3,2001,contact@ngo.org,High,489,Child Safety Award,Excellent
StopTraffick Mission,Child Abuse,Counselling,Karnataka,Jaipur,67477,9,2003,contact@ngo.org,Low,1904,Community Impact Award,Good
ChildProtect Mission,Child Abuse,Legal Aid,Maharashtra,Mumbai,88012,38,2017,contact@ngo.org,Low,854,Best NGO Award,Very Good
Parivartan Society,Domestic Violence,Counselling,Gujarat,Delhi,61604,31,2019,contact@ngo.org,Low,717,Humanity Service Award,Good
RescueKids NGO,Child Abuse,Legal Aid,Delhi,Kochi,24521,52,2021,contact@ngo.org,High,1884,Child Safety Award,Average
SecureFuture Org,Child Abuse,Women Rights,West Bengal,Patna,61019,26,1998,support@yahoo.com,Low,1252,National Excellence Award,Good
ChildProtect Mission,Rape Cases,Women Rights,Uttar Pradesh,Jaipur,95033,49,1999,info@gmail.com,Medium,1452,Child Safety Award,Good
ChildHelp India,Women Harassment,Domestic Abuse Support,Tamil Nadu,Ahmedabad,74232,38,1988,contact@ngo.org,High,114,National Excellence Award,Very Good
ChildHelp India,Child Abuse,Legal Aid,Kerala,Lucknow,57054,26,1990,info@gmail.com,Medium,276,Women Empowerment Award,Good
ChildHelp India,Domestic Violence,Child Protection,Uttar Pradesh,Patna,75771,39,1989,contact@ngo.org,High,574,Women Empowerment Award,Very Good
WomenRise India,Child Labour,Women Rights,Maharashtra,Chennai,55950,31,2013,contact@ngo.org,Medium,310,Child Safety Award,Good
RescueKids NGO,Rape Cases,Legal Aid,Kerala,Patna,53360,6,2002,support@yahoo.com,Low,1556,Best NGO Award,Very Good
JusticeForAll NGO,Child Labour,Cyber Safety,Uttar Pradesh,Kolkata,67409,45,2021,support@yahoo.com,High,963,Community Impact Award,Average
SaveWomen Foundation,Human Trafficking,Legal Aid,Maharashtra,Jaipur,91082,38,2001,support@yahoo.com,Low,843,National Excellence Award,Excellent
WomenRise India,Child Labour,Women Rights,Gujarat,Chennai,93113,36,1994,contact@ngo.org,High,1446,Child Safety Award,Average
SecureFuture Org,Child Labour,Legal Aid,West Bengal,Mumbai,69737,23,1993,contact@ngo.org,Low,1438,Best NGO Award,Good
WomenRise India,Human Trafficking,Cyber Safety,Karnataka,Bengaluru,75435,18,2018,info@gmail.com,Medium,750,National Excellence Award,Good
SaveWomen Foundation,Child Abuse,Anti-Trafficking,Rajasthan,Lucknow,15698,32,2022,info@gmail.com,Medium,798,National Excellence Award,Excellent
Udaan Trust,Domestic Violence,Legal Aid,Bihar,Chennai,20710,57,2008,info@gmail.com,Medium,743,National Excellence Award,Excellent
ChildHelp India,Cyber Crime,Domestic Abuse Support,Kerala,Jaipur,93155,26,2001,contact@ngo.org,Medium,1881,Women Empowerment Award,Excellent
SecureFuture Org,Rape Cases,Legal Aid,Rajasthan,Bengaluru,36887,30,2022,contact@ngo.org,Low,434,Women Empowerment Award,Excellent
SecureFuture Org,Cyber Crime,Child Protection,Maharashtra,Kochi,69429,43,1987,info@gmail.com,Low,1060,Women Empowerment Award,Good
SaveWomen Foundation,Cyber Crime,Women Rights,West Bengal,Patna,88289,47,1989,contact@ngo.org,High,1068,Best NGO Award,Average
CyberSafe Org,Child Abuse,Cyber Safety,Kerala,Patna,31819,39,2002,info@gmail.com,Medium,31,Humanity Service Award,Average
CyberSafe Org,Child Labour,Women Rights,Bihar,Mumbai,55274,9,2015,support@yahoo.com,Low,1188,Child Safety Award,Excellent
Parivartan Society,Human Trafficking,Women Rights,Bihar,Jaipur,53010,57,1993,contact@ngo.org,Low,486,National Excellence Award,Average
HopeCare Foundation,Cyber Crime,Legal Aid,Gujarat,Bengaluru,40761,36,1995,info@gmail.com,Medium,1699,Community Impact Award,Excellent
JusticeForAll NGO,Women Harassment,Domestic Abuse Support,Karnataka,Kochi,14097,14,2015,contact@ngo.org,Medium,1381,Humanity Service Award,Good
Udaan Trust,Women Harassment,Domestic Abuse Support,Uttar Pradesh,Jaipur,56973,14,2016,support@yahoo.com,Low,910,National Excellence Award,Average
Udaan Trust,Women Harassment,Anti-Trafficking,Tamil Nadu,Mumbai,87108,19,2006,info@gmail.com,Medium,864,None,Good
HopeCare Foundation,Child Labour,Women Rights,West Bengal,Jaipur,97767,8,2009,support@yahoo.com,Medium,206,National Excellence Award,Good
CyberSafe Org,Human Trafficking,Domestic Abuse Support,Gujarat,Chennai,89259,11,2015,contact@ngo.org,Low,388,National Excellence Award,Good
JusticeForAll NGO,Rape Cases,Counselling,Delhi,Jaipur,79240,36,1993,contact@ngo.org,Medium,48,Best NGO Award,Very Good
WomenRise India,Women Harassment,Child Protection,Tamil Nadu,Jaipur,54843,15,1990,support@yahoo.com,Low,987,None,Excellent
WomenRise India,Human Trafficking,Child Protection,Uttar Pradesh,Mumbai,67011,35,2006,contact@ngo.org,High,1431,Community Impact Award,Good
ChildProtect Mission,Cyber Crime,Domestic Abuse Support,Uttar Pradesh,Kolkata,52790,30,2010,support@yahoo.com,High,174,None,Very Good
JusticeForAll NGO,Cyber Crime,Domestic Abuse Support,Maharashtra,Mumbai,84984,57,2001,support@yahoo.com,High,1165,None,Very Good
CyberSafe Org,Cyber Crime,Anti-Trafficking,West Bengal,Jaipur,79400,47,2018,contact@ngo.org,Low,1404,None,Very Good
StopTraffick Mission,Child Abuse,Domestic Abuse Support,Tamil Nadu,Bengaluru,38281,52,2005,support@yahoo.com,Medium,1481,None,Average
Parivartan Society,Child Abuse,Women Rights,Gujarat,Delhi,59771,38,2003,support@yahoo.com,High,1237,Best NGO Award,Excellent
HopeCare Foundation,Cyber Crime,Domestic Abuse Support,West Bengal,Patna,88527,34,2008,contact@ngo.org,High,1408,National Excellence Award,Average
CyberSafe Org,Child Labour,Counselling,West Bengal,Patna,57363,46,1996,info@gmail.com,Low,1574,Best NGO Award,Good
ChildProtect Mission,Child Abuse,Domestic Abuse Support,Maharashtra,Mumbai,16153,17,2005,contact@ngo.org,High,1333,Humanity Service Award,Good
HopeCare Foundation,Cyber Crime,Child Protection,Bihar,Bengaluru,27029,53,2015,info@gmail.com,Medium,533,Humanity Service Award,Average
SaveWomen Foundation,Cyber Crime,Domestic Abuse Support,Karnataka,Bengaluru,89129,29,2021,info@gmail.com,Low,964,Humanity Service Award,Very Good
WomenRise India,Rape Cases,Cyber Safety,Delhi,Chennai,55790,16,2003,support@yahoo.com,Low,254,Community Impact Award,Very Good
Parivartan Society,Child Abuse,Women Rights,Kerala,Lucknow,43393,39,2016,contact@ngo.org,Low,1848,Women Empowerment Award,Good
